id_municipio,situacao,ano_atendimento,concessionaria,tecnologia,capacidade_backhaul,capacidade_ocupada,capacidade_disponivel
1502939,Atendido,2008,TELEMAR/PA,Fibra,32,26,6
2105401,Atendido,2008,TELEMAR/MA,Fibra,64,52,12
2112704,Atendido,2008,TELEMAR/MA,Fibra,32,28,4
2201200,Atendido,2008,TELEMAR/PI,Rádio,32,30,2
2300200,Atendido,2008,TELEMAR/CE,Fibra,64,25,39
2302206,Atendido,2008,TELEMAR/CE,Fibra,32,30,2
2304707,Atendido,2008,TELEMAR/CE,Fibra,32,26,6
2306553,Atendido,2008,TELEMAR/CE,Fibra,32,28,4
2310506,Atendido,2008,TELEMAR/CE,Fibra,32,20,12
2312403,Atendido,2008,TELEMAR/CE,Fibra,32,26,6
2313500,Atendido,2008,TELEMAR/CE,Rádio,32,18,14
2314003,Atendido,2008,TELEMAR/CE,Fibra,32,28,4
2412203,Atendido,2008,TELEMAR/RN,Fibra,32,30,2
2602605,Atendido,2008,TELEMAR/PE,Rádio,32,20,12
2602803,Atendido,2008,TELEMAR/PE,Rádio,32,24,8
2610608,Atendido,2008,TELEMAR/PE,Fibra,32,24,8
2709301,Atendido,2008,TELEMAR/AL,Rádio,64,38,26
2807105,Atendido,2008,TELEMAR/SE,Rádio,32,18,14
2807402,Atendido,2008,TELEMAR/SE,Rádio,32,28,4
2902906,Atendido,2008,TELEMAR/BA,Rádio,32,20,12
2910503,Atendido,2008,TELEMAR/BA,Fibra,32,30,2
3205101,Atendido,2008,TELEMAR/ES,Fibra,64,52,12
3304755,Atendido,2008,TELEMAR/RJ,Rádio,32,20,12
3500758,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3500808,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3501103,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3501400,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3502408,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3503703,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3503950,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3504305,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3504701,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3504909,Atendido,2008,TELESP,Rádio + SDH-NG,8,0,8
3506201,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3507209,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3507456,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3507704,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3509106,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3510104,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3510302,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3511201,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3511300,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3511904,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3512506,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3512605,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3512704,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3512902,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3514007,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3514205,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3514924,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3514957,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3515129,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3515350,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3515608,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3515806,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3515905,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3516606,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3516804,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3517109,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3517307,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3517901,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3518909,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3519204,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3519402,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3519501,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3520608,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3520806,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3521150,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3521507,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3522000,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3522802,Atendido,2008,TELESP,Rádio + SDH-NG,8,0,8
3523800,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3524204,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3524501,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3525607,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3525854,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3526506,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3526605,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3527603,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3527702,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3528205,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3528304,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3528601,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3528858,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3528908,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3529609,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3530904,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3531605,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3532058,Atendido,2008,TELESP,Rádio + Fibra + SDH-NG,8,0,8
3532108,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3532504,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3532702,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3532801,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3532900,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3533304,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3533700,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3533809,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3534104,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3534807,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3535101,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3535705,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3536257,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3536406,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3536802,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3536901,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3537503,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3537701,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3538303,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3539905,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3541109,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3541802,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3542503,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3544509,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3544707,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3545100,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3545407,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3546108,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3546207,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3546504,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3546900,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3547106,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3547205,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3547403,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3548302,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3548401,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3549300,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3551207,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3551306,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3552908,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3554904,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3554953,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3555356,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3556107,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3556958,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
1200252,Atendido,2008,BRASILTELECOM FILIAL/AC,Rádio,8,4,4
1700251,Atendido,2008,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
1703073,Atendido,2008,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
1703826,Atendido,2008,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
1703891,Atendido,2008,BRASILTELECOM FILIAL/GO,Fibra,8,4,4
